,,Stage:2
Compressor,Power[kW],177.751
Compressor,Corrected Flow rate Wc*,0.824
Compressor,Speed RPM,54891.519
Compressor,Outlet Pres[kPaA],580.083
Compressor,Outlet Temp[degC],249.624
Compressor,Pres Ratio PRC,5.801
Compressor,Comp Efficiency,0.855
Compressor,Air Flow[kg/s],0.8
Compressor,Turbine Pressure Ratio P2c/P1t,1.261
Turbine,Total Enthalpy[kW],338.559
Turbine,Turbine Enthalpy[kW],338.559
Turbine,Turbine Power[kW],187.106
Turbine,Speed RPM,54891.519
Turbine,Inlet Pres.[kPa],459.842
Turbine,Inlet Temp[C],1026.85
Turbine,Outlet Pres[kPa]Tot,160.0
Turbine,Outlet Temp[degC],871.666
Turbine,Pres Ratio PRT,2.874
Turbine,Turb Efficiency,0.45
Turbine,Total Flow[kg/s],0.738
Turbine,Turbine Flow[kg/s],0.738
Turbine,Bypass Ratio[BPR],0.0
Shaft,Fuel Flow [kg/s],0.018
Shaft,Turbine Required Flow[kg/s],0.954
Shaft,Turbine Corrected Flow rate[kg/s],0.345
Shaft,Theoretical T1t[degC],1187.239
Shaft,Mechanical Loss [kW],9.355
Shaft,AFR,40.0
