,P1c,rpm,AFR,P1t,P2c,fuel,T1t interp,fuel rate,T1t curvefit,T1t fitmax,T1t fitmin
0,79.09227708,1000,19.0,170,170,,2202.4922000625784,,573.2900419775544,626.721200085466,519.8588838696429
1,78.67685742,1100,19.6,192,192,,-136249.1414621239,,582.1884305418941,635.7587685494018,528.6180925343865
2,78.03438164,1200,20.5,219,219,,652.2549643548416,,583.6581103620399,637.4358874642819,529.8803332597979
3,77.35615036,1300,20.5,240,240,,-121.23123479348136,,602.7980120701062,656.5779253737137,549.0180987664987
4,76.87776683,1400,19.3,247,247,,-17058.3558524694,,645.2814628983301,698.7892758786351,591.7736499180252
5,76.49915223,1500,19.5,249,249,,-13198.697243465454,,654.8722653015274,708.4263547557325,601.3181758473222
6,76.12326663,1600,19.5,250,250,,-13120.427149617753,,667.263668781639,720.8183565336988,613.7089810295793
7,75.66740843,1700,19.5,252,252,,-12590.666473555128,,678.2357615498875,731.7911000067556,624.6804230930193
8,74.95635525,1800,20.1,260,260,,-401.44039647060987,,675.108106609605,728.801107884044,621.415105335166
9,74.32880805,1900,21.0,264,264,,-518.04610101386,,663.5610353151719,717.4592269742625,609.6628436560813
